,10-million-years,40-watt,Are-you-lightning_F#,Are-you-thirsty-from-sweet-creep_G,Automatic_Eb,Be-set-free-lost-animals-2009_B,Blonde-on-blonde_C,Breathe_G,Butterfly-2013_D,Cherry-blossom_E,Chihuahua-rescue-live_C,ChinaDoll_E,Cold-afternoon_A,Colorblind_D,Come-on_E,Cries-after-making-love-live_C,Danny-dakota-the-wishing-well_D,Devices,Dirt,Disappear,Diy,Dont-wait-for-me-jacaranda-2008,Dont-you-fade-away,Driving-home-2015,Farther-along-love-war-the-sea-in-between-2011,Fire-by-night-over-oceans-2006,Flower-2013,Gambler,Garage,Get-me-outta-here,Happy-in-hindsight-live,Hollywood-2003,Hope-2008,I-love-leaving-live,I-see-99,Im-a-fool,Kaeleighs-song-2013,L-a-let-me-go,LetItBe_C,Lets-get-high,Live-while-im-alive,Made-my-bed,Message-in-the-sand,More-like-you,Mortal-tears-2013,Moving-on,Never-be-2003,New-york-apartment,No-confies-en-mi,Norman-2008,Not-enough-2003,Out-here,Paralysed,Pilot-me-live-on-mayne-island-the-sea-in-between-soundtrack-2013,Portales,Pretty-things,Princess-2013,Resplandor,RobotCoupe,Silent-orchids-2013,Simple-love,So-alone,Something-to-believe-in,Stadium-inn-from-sweet-creep,Stranger,The-mountain-and-the-muse-2015,TheBeginning,Three-friends-2013,Time-2008,Tired-hearts,Wet-pavement,WeveComeaLongLongWay,Winter-is-over-2012,Wtfamp-the-christmas-song,You-and-i-lost-control,
10-million-years,0,0.30419,0.09566,0.47905,0.16047,0.19988,0.114,0.075405,0.16392,0.107205,0.095075,0.340525,0.16586,0.143635,0.63466,0.122755,0.266395,0.06226,0.14815,0.15069,0.090105,0.06917,0.058985,0.158685,0.06335,0.100725,0.080745,0.12808,0.27626,0.2354,0.15553,0.086315,0.08126,0.2137,0.21137,0.47259,0.117465,0.197505,0.05983,0.87705,0.19321,0.102455,0.077705,0.059105,0.0983,0.07767,0.297945,0.08477,0.188065,0.69672,0.224955,0.151725,0.13991,0.135995,0.116525,0.175945,0.062945,0.101745,0.173265,0.103735,0.07052,0.096585,0.172475,0.162,0.117215,0.063835,0.06205,0.07386,0.11091,0.11804,0.72678,0.20308,0.063255,0.11599,0.35519
40-watt,0.30419,0,0.34188,0.55556,0.37607,0.344295,0.3627,0.335105,0.335225,0.34978,0.35874,0.41667,0.35333,0.33631,0.71429,0.33871,0.38021,0.32328,0.371915,0.335,0.31408,0.35342,0.35994,0.334935,0.340685,0.347585,0.319445,0.33333,0.23264,0.260415,0.33653,0.352775,0.347785,0.33796,0.33333,0.440105,0.33333,0.33879,0.338275,0.858335,0.35615,0.35197,0.33599,0.35714,0.33443,0.33333,0.320245,0.311595,0.35227,0.822915,0.340275,0.37767,0.274425,0.362105,0.31755,0.335415,0.34961,0.344595,0.34596,0.349355,0.309025,0.348955,0.33854,0.336955,0.33333,0.36841,0.303,0.36458,0.339995,0.32481,0.729165,0.335525,0.34829,0.35215,0.340275
Are-you-lightning_F#,0.09566,0.34188,0,0.490025,0.155325,0.211205,0.115425,0.089,0.172125,0.089205,0.10311,0.33136,0.167425,0.13692,0.615385,0.12343,0.272685,0.103005,0.142555,0.16,0.09454,0.091965,0.09982,0.14941,0.098425,0.102885,0.10283,0.12111,0.289375,0.234275,0.13643,0.100435,0.09266,0.17723,0.18858,0.446715,0.12206,0.20068,0.09077,0.88718,0.196845,0.109415,0.090375,0.10256,0.09324,0.086595,0.28008,0.099095,0.20555,0.80128,0.2373,0.15434,0.13275,0.12441,0.1115,0.182915,0.09853,0.10218,0.175805,0.105195,0.096195,0.09962,0.1451,0.165455,0.103235,0.103865,0.09324,0.10535,0.100645,0.12305,0.73718,0.215995,0.09796,0.11441,0.356835
Are-you-thirsty-from-sweet-creep_G,0.47905,0.55556,0.490025,0,0.480765,0.500975,0.473015,0.518785,0.47727,0.48684,0.55556,0.55556,0.488395,0.474205,0.71429,0.46774,0.55556,0.491375,0.50617,0.466665,0.484845,0.464285,0.5145,0.55556,0.41966,0.475145,0.511575,0.507405,0.55556,0.55556,0.45111,0.466665,0.47052,0.55556,0.55556,0.625,0.55556,0.502645,0.55556,1.0,0.502645,0.55556,0.47872,0.55556,0.48684,0.443135,0.44444,0.491545,0.47727,1.0,0.55556,0.51401,0.44636,0.55556,0.55556,0.55556,0.55556,0.486485,0.44444,0.494775,0.46839,0.488115,0.55556,0.55556,0.55556,0.45386,0.55556,0.55556,0.466965,0.454545,0.83333,0.48278,0.514245,0.482675,0.55556
Automatic_Eb,0.16047,0.37607,0.155325,0.480765,0,0.22065,0.14296,0.130225,0.18476,0.166885,0.155055,0.38462,0.174925,0.15665,0.71429,0.147665,0.273285,0.150225,0.17042,0.147445,0.16333,0.155325,0.160885,0.161245,0.15798,0.176305,0.157795,0.158435,0.29945,0.252405,0.142615,0.13287,0.160085,0.22329,0.221235,0.50481,0.16333,0.181365,0.15785,1.0,0.18158,0.174165,0.14859,0.154645,0.14711,0.15459,0.30917,0.15877,0.191195,0.83654,0.237065,0.16272,0.16456,0.165205,0.159095,0.20846,0.150795,0.155405,0.18492,0.16568,0.15058,0.165165,0.16747,0.16228,0.14941,0.1563,0.15695,0.16824,0.15866,0.15443,0.83333,0.21255,0.159765,0.145065,0.37607
Be-set-free-lost-animals-2009_B,0.19988,0.344295,0.211205,0.500975,0.22065,0,0.237635,0.196915,0.2133,0.214685,0.21181,0.38462,0.2241,0.22779,0.61654,0.21053,0.26696,0.217335,0.22176,0.19834,0.211125,0.21241,0.20265,0.21053,0.194745,0.22507,0.22894,0.21053,0.303305,0.251645,0.20665,0.219945,0.212675,0.2327,0.21884,0.55839,0.21968,0.21983,0.19405,0.873685,0.21884,0.20776,0.203575,0.217705,0.20014,0.188015,0.298975,0.21363,0.21311,0.848685,0.25073,0.214575,0.220655,0.19752,0.21292,0.193075,0.215875,0.22943,0.226015,0.220755,0.21915,0.23885,0.21053,0.20619,0.21053,0.21276,0.20268,0.218985,0.223815,0.219635,0.723685,0.222995,0.214915,0.19744,0.36568
Blonde-on-blonde_C,0.114,0.3627,0.115425,0.473015,0.14296,0.237635,0,0.11062,0.186095,0.11507,0.11568,0.38462,0.17223,0.14286,0.589795,0.13394,0.263005,0.105275,0.168175,0.170745,0.117215,0.11429,0.110225,0.14666,0.111815,0.10955,0.105405,0.118335,0.29133,0.23047,0.161145,0.114695,0.11487,0.230775,0.207365,0.548215,0.118455,0.19116,0.106635,1.0,0.19524,0.11617,0.10728,0.10898,0.11429,0.10859,0.32857,0.099485,0.189345,0.860715,0.21301,0.14499,0.14187,0.151275,0.123375,0.207855,0.111135,0.117825,0.1799,0.12268,0.11429,0.12,0.16146,0.177665,0.110535,0.11991,0.11795,0.116175,0.11036,0.114995,0.735715,0.23075,0.111145,0.12949,0.35357
Breathe_G,0.075405,0.335105,0.089,0.518785,0.130225,0.196915,0.11062,0,0.1703,0.10526,0.088765,0.33602,0.16245,0.145395,0.610945,0.120065,0.262635,0.07537,0.138225,0.15227,0.08791,0.07758,0.0822,0.145805,0.07959,0.10025,0.080615,0.11857,0.242675,0.234955,0.147695,0.08384,0.075795,0.209055,0.2011,0.46759,0.121535,0.192,0.070965,1.0,0.1781,0.10358,0.074015,0.08146,0.09503,0.07628,0.282575,0.06967,0.182305,0.843085,0.22222,0.159165,0.132165,0.130645,0.116705,0.183085,0.078855,0.09072,0.18327,0.104865,0.07971,0.103435,0.168,0.15469,0.107555,0.080855,0.07782,0.085305,0.101215,0.11827,0.83333,0.1833,0.08003,0.11244,0.38616
Butterfly-2013_D,0.16392,0.335225,0.172125,0.47727,0.18476,0.2133,0.186095,0.1703,0,0.17426,0.17023,0.342255,0.15814,0.17422,0.62013,0.165625,0.2571,0.184955,0.19184,0.167315,0.15961,0.172155,0.1862,0.183565,0.159975,0.177415,0.159695,0.18182,0.28571,0.25,0.1593,0.175115,0.172835,0.20511,0.21846,0.347305,0.171145,0.209185,0.13566,0.877275,0.170425,0.169315,0.174235,0.18359,0.16534,0.174235,0.314685,0.167445,0.18285,0.829545,0.23429,0.172285,0.161835,0.167205,0.162535,0.18568,0.167325,0.17439,0.192145,0.19567,0.180575,0.17443,0.18285,0.18487,0.163565,0.188385,0.163205,0.170675,0.164705,0.153925,0.670455,0.234325,0.17533,0.18255,0.34249
Cherry-blossom_E,0.107205,0.34978,0.089205,0.48684,0.166885,0.214685,0.11507,0.10526,0.17426,0,0.100915,0.29796,0.164735,0.14427,0.592105,0.1304,0.25411,0.105575,0.14815,0.171055,0.092845,0.10655,0.09514,0.1394,0.105315,0.106645,0.10101,0.129125,0.281415,0.20436,0.165265,0.105535,0.095505,0.19964,0.19668,0.547695,0.12247,0.20981,0.096745,1.0,0.19346,0.09661,0.08821,0.09784,0.0928,0.0976,0.297025,0.089635,0.19449,0.86184,0.245455,0.1621,0.135415,0.134165,0.124185,0.211185,0.090505,0.108465,0.186605,0.114105,0.10957,0.118765,0.165845,0.17849,0.109915,0.101375,0.101225,0.10655,0.10485,0.12161,0.736845,0.22784,0.0874,0.123175,0.39382
