,.DS_Store,blonde-on-blonde_C0,blonde-on-blonde_C3,blonde-on-blonde_C6,blonde-on-blonde_C9,
.DS_Store,0,1.0,1.0,1.0,1.0
blonde-on-blonde_C0,1.0,0,0.7,0.7,0.7
blonde-on-blonde_C3,1.0,0.7,0,0.7,0.7
blonde-on-blonde_C6,1.0,0.7,0.7,0,0.7
blonde-on-blonde_C9,1.0,0.7,0.7,0.7,0
