,Angel_Am,are-you-lightning_F#,are-you-thirsty-from-sweet-creep_G,automatic_Eb,be-set-free-lost-animals-2009_B,beautiful-souls-2013_Em,believe-youre-mine_F#m,blonde-on-blonde_C,Book_Bb,born-again-home-2015_Bm,breathe_G,butterfly-2013_D,chameleon_Gm,cherry-blossom_E,chihuahua-rescue-live_C,ChinaDoll_E,closer_A,cold-afternoon_A,colorblind_D,come-on_E,cries-after-making-love-live_C,danny-dakota-the-wishing-well_D,daybreak_Dm,earned-it,fire-by-night-over-oceans-2006,LetItBe_C,stranger,
Angel_Am,0,0.054075,0.21489,0.110795,0.11211,0.04363,0.060065,0.071245,0.280095,0.05016,0.058215,0.12494,0.256685,0.07245,0.066405,0.150825,0.08416,0.0813,0.09645,0.28685,0.088745,0.109905,0.05967,0.13744,0.05729,0.045025,0.082565
are-you-lightning_F#,0.054075,0,0.20139,0.082675,0.085335,0.046935,0.060225,0.059565,0.29757,0.04775,0.04105,0.08627,0.296295,0.044575,0.053475,0.158375,0.077865,0.06927,0.05889,0.36009,0.062925,0.094265,0.06335,0.104235,0.064805,0.03972,0.056505
are-you-thirsty-from-sweet-creep_G,0.21489,0.20139,0,0.19578,0.208885,0.181605,0.186905,0.189815,0.375,0.20991,0.236925,0.188765,0.33333,0.204595,0.25,0.25,0.218255,0.19859,0.181945,0.42857,0.174735,0.25,0.189815,0.228175,0.232045,0.195105,0.206755
automatic_Eb,0.110795,0.082675,0.19578,0,0.09797,0.109875,0.101395,0.083415,0.304085,0.087915,0.07151,0.10251,0.33333,0.095415,0.0852,0.1875,0.108255,0.09744,0.08629,0.42857,0.083105,0.10059,0.098415,0.12441,0.11055,0.080715,0.08423
be-set-free-lost-animals-2009_B,0.11211,0.085335,0.208885,0.09797,0,0.12,0.10537,0.11082,0.30844,0.111435,0.08533,0.10632,0.33333,0.09442,0.082055,0.143905,0.0874,0.084025,0.0956,0.42857,0.090295,0.089475,0.12,0.14286,0.10441,0.083795,0.08201
beautiful-souls-2013_Em,0.04363,0.046935,0.181605,0.109875,0.12,0,0.059715,0.06489,0.32061,0.051555,0.05956,0.113325,0.28884,0.062365,0.065565,0.174785,0.096385,0.07893,0.075125,0.37081,0.06682,0.10436,0.06129,0.136525,0.06756,0.04018,0.070915
believe-youre-mine_F#m,0.060065,0.060225,0.186905,0.101395,0.10537,0.059715,0,0.060795,0.32701,0.05991,0.07108,0.105815,0.250795,0.061905,0.074625,0.153515,0.101405,0.069365,0.074925,0.338775,0.070625,0.091825,0.06239,0.12041,0.08269,0.05782,0.066415
blonde-on-blonde_C,0.071245,0.059565,0.189815,0.083415,0.11082,0.06489,0.060795,0,0.26389,0.059135,0.058485,0.09986,0.257715,0.066715,0.06013,0.173395,0.090135,0.07696,0.06926,0.315475,0.07547,0.088305,0.071375,0.109035,0.07802,0.052025,0.059765
Book_Bb,0.280095,0.29757,0.375,0.304085,0.30844,0.32061,0.32701,0.26389,0,0.30682,0.310675,0.30753,0.294275,0.327925,0.30878,0.375,0.265625,0.311745,0.325525,0.30612,0.3057,0.375,0.32205,0.375,0.29116,0.308285,0.309425
born-again-home-2015_Bm,0.05016,0.04775,0.20991,0.087915,0.111435,0.051555,0.05991,0.059135,0.30682,0,0.054975,0.113635,0.287315,0.066535,0.05317,0.174185,0.089865,0.08191,0.077555,0.42857,0.075855,0.1095,0.06439,0.13237,0.068,0.04974,0.079085
breathe_G,0.058215,0.04105,0.236925,0.07151,0.08533,0.05956,0.07108,0.058485,0.310675,0.054975,0,0.08836,0.296555,0.0538,0.04446,0.16327,0.08451,0.068315,0.07339,0.334345,0.06539,0.09019,0.072975,0.123055,0.06783,0.03657,0.05794
butterfly-2013_D,0.12494,0.08627,0.188765,0.10251,0.10632,0.113325,0.105815,0.09986,0.30753,0.113635,0.08836,0,0.28984,0.09557,0.08894,0.170635,0.11275,0.09074,0.09139,0.32792,0.084575,0.110375,0.090505,0.107295,0.12588,0.093435,0.0885
chameleon_Gm,0.256685,0.296295,0.33333,0.33333,0.33333,0.28884,0.250795,0.257715,0.294275,0.287315,0.296555,0.28984,0,0.33333,0.295855,0.285105,0.282625,0.33333,0.293205,0.37415,0.33333,0.291785,0.248455,0.28924,0.306685,0.270725,0.33333
cherry-blossom_E,0.07245,0.044575,0.204595,0.095415,0.09442,0.062365,0.061905,0.066715,0.327925,0.066535,0.0538,0.09557,0.33333,0,0.051845,0.14288,0.07836,0.070105,0.069105,0.31868,0.072175,0.084565,0.071285,0.097335,0.074355,0.05083,0.05782
chihuahua-rescue-live_C,0.066405,0.053475,0.25,0.0852,0.082055,0.065565,0.074625,0.06013,0.30878,0.05317,0.04446,0.08894,0.295855,0.051845,0,0.16639,0.082055,0.07272,0.074685,0.360545,0.07367,0.0877,0.074735,0.14286,0.069655,0.046675,0.05913
ChinaDoll_E,0.150825,0.158375,0.25,0.1875,0.143905,0.174785,0.153515,0.173395,0.375,0.174185,0.16327,0.170635,0.285105,0.14288,0.16639,0,0.15541,0.16866,0.163415,0.308035,0.172695,0.121545,0.162325,0.162855,0.1875,0.15318,0.173
closer_A,0.08416,0.077865,0.218255,0.108255,0.0874,0.096385,0.101405,0.090135,0.265625,0.089865,0.08451,0.11275,0.282625,0.07836,0.082055,0.15541,0,0.07859,0.080695,0.36735,0.092185,0.088335,0.0968,0.125285,0.087015,0.08383,0.08886
cold-afternoon_A,0.0813,0.06927,0.19859,0.09744,0.084025,0.07893,0.069365,0.07696,0.311745,0.08191,0.068315,0.09074,0.33333,0.070105,0.07272,0.16866,0.07859,0,0.069945,0.42857,0.07284,0.085225,0.07703,0.14286,0.084385,0.066775,0.07002
colorblind_D,0.09645,0.05889,0.181945,0.08629,0.0956,0.075125,0.074925,0.06926,0.325525,0.077555,0.07339,0.09139,0.293205,0.069105,0.074685,0.163415,0.080695,0.069945,0,0.36871,0.07163,0.08373,0.07787,0.1093,0.096155,0.060925,0.069245
come-on_E,0.28685,0.36009,0.42857,0.42857,0.42857,0.37081,0.338775,0.315475,0.30612,0.42857,0.334345,0.32792,0.37415,0.31868,0.360545,0.308035,0.36735,0.42857,0.36871,0,0.42857,0.340655,0.36763,0.30612,0.36013,0.331065,0.30952
cries-after-making-love-live_C,0.088745,0.062925,0.174735,0.083105,0.090295,0.06682,0.070625,0.07547,0.3057,0.075855,0.06539,0.084575,0.33333,0.072175,0.07367,0.172695,0.092185,0.07284,0.07163,0.42857,0,0.09995,0.07391,0.121535,0.080325,0.06321,0.066045
danny-dakota-the-wishing-well_D,0.109905,0.094265,0.25,0.10059,0.089475,0.10436,0.091825,0.088305,0.375,0.1095,0.09019,0.110375,0.291785,0.084565,0.0877,0.121545,0.088335,0.085225,0.08373,0.340655,0.09995,0,0.106345,0.115125,0.11538,0.081325,0.084385
daybreak_Dm,0.05967,0.06335,0.189815,0.098415,0.12,0.06129,0.06239,0.071375,0.32205,0.06439,0.072975,0.090505,0.248455,0.071285,0.074735,0.162325,0.0968,0.07703,0.07787,0.36763,0.07391,0.106345,0,0.133695,0.07609,0.066635,0.072885
